chave;cnpj;nr_natureza_juridica;matriz;simples;simei;classificação;situacao
2062-1544-2011;15441648000170;2062;1;1;0;PRIVADO;BAIXADA
2135-1337-2011;13376456000100;2135;1;1;1;PRIVADO;ATIVA
2135-1103-1986;11034154000110;2135;1;0;0;PRIVADO;ATIVA
2062-1055-2008;10557664000100;2062;1;0;0;PRIVADO;BAIXADA
2046-9040-2009;90400888172270;2046;0;0;0;PRIVADO;ATIVA
2062-1209-2010;12098663000170;2062;1;1;0;PRIVADO;ATIVA
2135-1247-2010;12472740000100;2135;1;0;0;PRIVADO;BAIXADA
2135-1365-2011;13657539000160;2135;1;1;1;PRIVADO;ATIVA
2135-1179-2010;11792853000120;2135;1;0;0;PRIVADO;ATIVA
2135-1173-2010;11738375000170;2135;1;1;0;PRIVADO;ATIVA
2135-1079-2009;10791467000150;2135;1;0;0;PRIVADO;ATIVA
3999-1361-2010;13613421000130;3999;1;0;0;PRIVADO;ATIVA
2135-1224-2010;12246639000130;2135;1;1;1;PRIVADO;ATIVA
2135-1034-2008;10345117000160;2135;1;1;1;PRIVADO;ATIVA
2135-1022-1986;10227841000190;2135;1;0;0;PRIVADO;ATIVA
2135-1259-2010;12594744000160;2135;1;1;1;PRIVADO;ATIVA
2062-1298-2010;12983505000100;2062;1;1;0;PRIVADO;ATIVA
2135-1353-2011;13536050000130;2135;1;0;0;PRIVADO;ATIVA
2135-1369-2011;13692644000130;2135;1;1;0;PRIVADO;ATIVA
2135-1530-2012;15309067000180;2135;1;0;0;PRIVADO;BAIXADA
2062-0946-2010;09462147000410;2062;0;0;0;PRIVADO;ATIVA
2062-2704-1982;27045012000350;2062;0;0;0;PRIVADO;BAIXADA
2135-2932-1980;29324548000330;2135;0;0;0;PRIVADO;BAIXADA
2135-1880-1983;18807578000110;2135;1;0;0;PRIVADO;BAIXADA
2135-5114-1979;51145787000110;2135;1;0;0;PRIVADO;BAIXADA
2135-6215-1990;62153614000160;2135;1;0;0;PRIVADO;BAIXADA
2135-5301-1983;53015368000190;2135;1;0;0;PRIVADO;BAIXADA
2135-7762-1978;77624005000110;2135;1;0;0;PRIVADO;BAIXADA
2135-4352-1980;43523075000160;2135;1;0;0;PRIVADO;BAIXADA
2135-4891-1977;48916944000130;2135;1;0;0;PRIVADO;BAIXADA
2135-4864-1977;48647168000110;2135;1;0;0;PRIVADO;BAIXADA
2062-2061-1985;20614855000110;2062;1;0;0;PRIVADO;BAIXADA
2062-7185-1993;71853287000140;2062;1;0;0;PRIVADO;BAIXADA
2062-4952-1978;49527039000150;2062;1;0;0;PRIVADO;BAIXADA
2135-4057-1991;40576969000120;2135;1;0;0;PRIVADO;BAIXADA
2062-7507-1980;75070391000110;2062;1;0;0;PRIVADO;BAIXADA
4090-0670-2004;06700228000170;4090;1;0;0;PRIVADO;BAIXADA
2135-0399-2000;03992164000130;2135;1;0;0;PRIVADO;BAIXADA
2062-1258-2010;12589721000320;2062;0;1;0;PRIVADO;ATIVA
2135-1373-2011;13732669000110;2135;1;1;1;PRIVADO;ATIVA
2062-0598-2005;05984689000230;2062;0;0;0;PRIVADO;ATIVA
2135-1370-2011;13703879000180;2135;1;1;1;PRIVADO;ATIVA
3999-0381-2000;03811292000130;3999;1;0;0;PRIVADO;ATIVA
2135-2376-1987;23762008000190;2135;1;0;0;PRIVADO;BAIXADA
3999-1592-2012;15928784000190;3999;1;0;0;PRIVADO;BAIXADA
2062-5927-1988;59270488000110;2062;1;0;0;PRIVADO;ATIVA
2135-1697-2012;16979484000100;2135;1;1;1;PRIVADO;ATIVA
2135-1699-2012;16992683000140;2135;1;1;1;PRIVADO;ATIVA
2135-1702-2012;17027358000100;2135;1;1;0;PRIVADO;ATIVA
2135-1703-2012;17030244000110;2135;1;1;1;PRIVADO;ATIVA
2062-3371-1990;33711805000100;2062;1;0;0;PRIVADO;BAIXADA
2062-1074-2009;10745523000110;2062;1;0;0;PRIVADO;ATIVA
2062-1443-2011;14432639000150;2062;1;0;0;PRIVADO;ATIVA
2151-0749-2005;07499735000150;2151;1;0;0;PRIVADO;ATIVA
3085-0100-1995;01000749000100;3085;1;0;0;PRIVADO;ATIVA
3999-4100-1992;41007436000190;3999;1;0;0;PRIVADO;ATIVA
2135-0509-2002;05099762000100;2135;1;0;0;PRIVADO;ATIVA
2135-0277-1998;02777945000140;2135;1;0;0;PRIVADO;ATIVA
2135-8676-1994;86769742000100;2135;1;1;0;PRIVADO;ATIVA
2062-0441-2001;04412044000180;2062;1;0;0;PRIVADO;ATIVA
2062-0724-2004;07242082000120;2062;1;1;0;PRIVADO;ATIVA
2062-6598-1991;65989964000150;2062;1;0;0;PRIVADO;ATIVA
2135-0714-2004;07148519000160;2135;1;1;0;PRIVADO;ATIVA
2135-0817-2006;08173889000110;2135;1;0;0;PRIVADO;ATIVA
2135-1440-2011;14403838000130;2135;1;1;1;PRIVADO;ATIVA
2062-1091-2009;10911724000140;2062;1;1;0;PRIVADO;ATIVA
2135-1538-2012;15389449000160;2135;1;1;1;PRIVADO;ATIVA
2062-0171-1997;01715342000150;2062;1;0;0;PRIVADO;ATIVA
2062-1399-2011;13990901000110;2062;1;0;0;PRIVADO;ATIVA
2062-0958-2008;09581996000140;2062;1;1;0;PRIVADO;ATIVA
4120-1586-2012;15868499000120;4120;1;0;0;PRIVADO;ATIVA
2135-0669-1974;06695191000210;2135;0;0;0;PRIVADO;ATIVA
2135-1586-2012;15868560000130;2135;1;1;0;PRIVADO;ATIVA
2135-0568-2003;05680784000160;2135;1;0;0;PRIVADO;BAIXADA
2054-0803-1981;08037483000100;2054;1;0;0;PRIVADO;ATIVA
2135-1371-2011;13713068000160;2135;1;1;1;PRIVADO;ATIVA
2135-0536-2002;05361848000160;2135;1;0;0;PRIVADO;ATIVA
2135-0871-2007;08717669000100;2135;1;1;0;PRIVADO;ATIVA
2232-1372-2011;13720406000190;2232;1;1;0;PRIVADO;ATIVA
2062-0798-2006;07987665000180;2062;1;0;0;PRIVADO;ATIVA
3999-0796-2006;07960510000150;3999;1;0;0;PRIVADO;ATIVA
2062-0719-2005;07195556000120;2062;1;1;0;PRIVADO;ATIVA
4120-0928-2007;09284293000150;4120;1;0;0;PRIVADO;ATIVA
2135-0523-2002;05231711000190;2135;1;0;0;PRIVADO;ATIVA
2062-0606-2003;06064870000100;2062;1;0;0;PRIVADO;ATIVA
2135-0229-1997;02296779000160;2135;1;0;0;PRIVADO;BAIXADA
2135-1462-2011;14623495000110;2135;1;1;1;PRIVADO;ATIVA
2135-0386-2000;03867583000140;2135;1;0;0;PRIVADO;ATIVA
2062-0440-2001;04405743000100;2062;1;0;0;PRIVADO;ATIVA
2062-0220-1997;02208860000140;2062;1;0;0;PRIVADO;BAIXADA
3085-0635-2000;06352481000180;3085;1;0;0;PRIVADO;ATIVA
2062-0201-1997;02013642000150;2062;1;0;0;PRIVADO;ATIVA
2135-0720-2005;07200052000150;2135;1;1;0;PRIVADO;ATIVA
2062-0030-1994;00308865000110;2062;1;0;0;PRIVADO;ATIVA
2135-1395-2011;13952074000170;2135;1;1;0;PRIVADO;ATIVA
2135-0952-2008;09521651000100;2135;1;0;0;PRIVADO;ATIVA
2135-0726-2008;07262719000220;2135;0;1;0;PRIVADO;ATIVA
3220-6295-1989;62955505287350;3220;0;0;0;PRIVADO;ATIVA
